obec,kraj,odberatelu,mist,lokalit,vykon,teplo_mnozstvi,teplo_cena,uhli,pod_uhli,plyn,pod_plyn,biomasa,pod_biomasa,olej,pod_olej,ostatni,pod_ostatni
Odolena Voda,S,31,51,4,40.032000000000004,111609.0,399.5639599853058,0.0,0.0,111609.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Odry,T,26,60,2,30.53,23814.0,601.5860892752163,0.0,0.0,23814.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Olbramice,T,1,1,1,0.024,71.0,532.21,0.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Oldřichov v Hájích,L,7,7,1,0.35,550.0,430.0,0.0,0.0,0.0,0.0,550.0,1.0,0.0,0.0,0.0,0.0
Olomouc,M,963,2001,7,397.44500000000005,2297639.0,463.3209854855353,2200694.0039,0.9578066893450189,50120.713599999995,0.021814007161264234,42169.9806,0.01835361455824871,4488.4684,0.0019535133238946585,0.0,0.0
Oloví,K,5,18,1,6.8,14365.0,641.75,0.0,0.0,14365.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Olšany,M,6,9,1,36.0,2765.0,304.8605424954792,0.0,0.0,2765.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Opatov,E,1,1,1,1.271,428.0,161.3,0.0,0.0,0.0,0.0,428.0,1.0,0.0,0.0,0.0,0.0
Opava,T,347,579,6,75.776,325255.0,561.5671035956404,0.0,0.0,325255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Opava DIN,T,1,7,1,1.327,5702.0,521.41,0.0,0.0,5702.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Orlová,T,62,301,6,57.900999999999996,347047.0,516.7133619077532,254666.4784,0.733809767553098,5325.5437999999995,0.015345310001239024,0.0,0.0,207.95080000000002,0.0005992006846334935,86847.027,0.2502457217610295
Orlová Bohumín Dolní Lutyně,T,37,189,1,0.0,453582.0,391.98998617670014,447413.28479999996,0.9863999999999999,5805.8496,0.012799999999999999,0.0,0.0,362.8656,0.0007999999999999999,0.0,0.0
Orlová DIN,T,1,13,1,0.0,4313.0,601.22,4254.3432,0.9864,55.2064,0.0128,0.0,0.0,3.4504,0.0008,0.0,0.0
Osek,U,14,51,3,8.583,30786.0,511.2535626583511,0.0,0.0,30786.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Osek nad Bečvou,M,2,6,2,0.5800000000000001,1684.0,719.1631472684087,0.0,0.0,1684.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Oskava,M,1,1,1,2.6,64023.0,303.01,0.0,0.0,0.0,0.0,64023.0,1.0,0.0,0.0,0.0,0.0
Oslavany,B,19,26,2,3.1879999999999997,15993.0,414.540874132433,0.0,0.0,15993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Osoblaha,T,3,9,1,1.632,4508.0,428.5344853593611,4508.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ostrava,T,3405,7527,65,2472.604,8156221.0,405.4376337190962,5838859.295899999,0.7158780145731705,71145.15209999998,0.008722808283394966,0.0,0.0,2714.1948000000007,0.00033277602458295336,2243502.3571999995,0.27506640111885144
Ostravice,T,3,3,3,0.6619999999999999,2283.0,567.0017520805957,0.0,0.0,2283.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ostrov,K,313,346,1,66.8,218788.0,579.2522264932263,146259.778,0.6685,3303.6988,0.0151,69224.5232,0.31639999999999996,0.0,0.0,0.0,0.0
Ostřetin,E,1,1,1,0.8540000000000001,536.0,242.0,0.0,0.0,0.0,0.0,536.0,1.0,0.0,0.0,0.0,0.0
