,lokalita,kraj,pod_uhli,pod_plyn,pod_bio,pod_olej,pod_ost,vykon,pocet_odberat,pocet_mist,nad_10_czk,nad_10_gj,pod_10_czk,pod_10_gj,cptv_czk,cptv_gj,prim_rozv_czk,prim_rozv_gj,cvs_czk,cvs_gj,cvs_voda_czk,cvs_voda_gj,blok_kot_czk,blok_kot_gj,sek_rozv_czk,sek_rozv_gj,dps_czk,dps_gj,dom_kot_czk,dom_kot_gj,dod_cena,dod_mnozstvi
914,Javorník - MKS,M,0.0,1.0,0.0,0.0,0.0,0.168,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.74,423.0,408.73999999999995,423.0
915,Jemnice,J,0.0,0.8769,0.1231,0.0,0.0,1.5130000000000001,3,6,0.0,0.0,949.87,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.97,2762.0,784.7111286681716,4430.0
916,Jesenice,S,1.0,0.0,0.0,0.0,0.0,1.074,9,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,3138.0,0.0,0.0,485.0,3138.0
917,Jesenice 1,S,0.0,0.0,0.0,1.0,0.0,0.225,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.97,786.0,519.97,786.0
918,Jesenice 2,S,0.0,0.0,0.0,1.0,0.0,0.13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.94,402.0,791.94,402.0
919,Jesenice u Rakovníka,S,1.0,0.0,0.0,0.0,0.0,1.0659999999999998,9,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.15,1356.0,0.0,0.0,484.15000000000003,1356.0
920,Jeseník - Bezručova 26 (BD u Turbíny),M,0.0,1.0,0.0,0.0,0.0,0.198,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.82,366.0,534.82,366.0
921,Jeseník - CZT,M,0.0,1.0,0.0,0.0,0.0,13.915,30,53,0.0,0.0,0.0,0.0,550.77,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.07,26964.0,0.0,0.0,572.7649228180555,27338.0
922,Jeseník - domovní kotelny,M,0.0,0.9394,0.060599999999999994,0.0,0.0,1.435,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.34,5207.0,518.34,5207.0
923,Jeseník - Dukelská 796,M,0.0,1.0,0.0,0.0,0.0,0.099,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.4,236.0,433.4,236.0
924,Jeseník - Seifertova,M,0.0,1.0,0.0,0.0,0.0,0.84,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.9,2592.0,397.9,2592.0
925,Jeseník - U Kasáren 1131/10,M,0.0,1.0,0.0,0.0,0.0,0.149,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.81,633.0,428.80999999999995,633.0
926,Jeseník - Zeyerova 656,M,0.0,1.0,0.0,0.0,0.0,0.18,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.42,499.0,474.42,499.0
927,Jevíčko - Olomoucká 774,E,0.0,0.0,1.0,0.0,0.0,0.7,2,1,0.0,0.0,253.0,4911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,4911.0
928,Jezbořice,E,0.0,0.0,1.0,0.0,0.0,0.57,1,1,0.0,0.0,217.8,5372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.8,5372.0
929,Jičín,H,0.0,1.0,0.0,0.0,0.0,27.694000000000003,112,128,0.0,0.0,0.0,0.0,528.0,26166.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,63153.0,0.0,0.0,0.0,0.0,553.66,4092.0,547.3781430452516,93411.0
930,Jičín - Šafaříkova 1059,H,0.0,1.0,0.0,0.0,0.0,0.41600000000000004,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.57,1062.0,644.57,1062.0
931,Jičín - Šibeňák 892,H,0.0,1.0,0.0,0.0,0.0,0.8009999999999999,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.36,347.0,647.36,347.0
932,Jihlava,J,0.0,1.0,0.0,0.0,0.0,2.4730000000000003,1,1,0.0,0.0,206.89,25189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.89,25189.0
933,"Jihlava -  Havlíčkova 1395/30, Jihlavské terasy",J,0.0,1.0,0.0,0.0,0.0,2.74,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.39,6040.0,0.0,0.0,0.0,0.0,0.0,0.0,789.39,6040.0
934,Jihlava - 5. Května 4,J,0.0,1.0,0.0,0.0,0.0,0.073,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.5,233.0,669.5,233.0
935,Jihlava - Antonínův Důl 214,J,0.0,1.0,0.0,0.0,0.0,0.183,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.19,1119.0,0.0,0.0,573.19,1119.0
936,Jihlava - blokové kotelny,J,0.0,0.8612000000000001,0.1388,0.0,0.0,46.544,206,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.2,521.0,0.0,0.0,610.67,199405.0,0.0,0.0,610.5254471654512,199926.0
937,Jihlava - Brněnská 2806/71,J,0.0,1.0,0.0,0.0,0.0,0.15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.68,476.0,667.68,476.0
938,Jihlava - Brtnická 15,J,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.91,340.0,530.91,340.0
939,Jihlava - Domov důchodců Lesnov,J,0.0,1.0,0.0,0.0,0.0,0.57,2,2,0.0,0.0,552.74,2216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.74,278.0,0.0,0.0,0.0,0.0,0.0,0.0,552.74,2494.0
940,Jihlava - Dr. Procházky 11,J,0.0,1.0,0.0,0.0,0.0,0.204,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.47,1266.0,496.47,1266.0
941,Jihlava - Dr. Procházky 7,J,0.0,1.0,0.0,0.0,0.0,0.204,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.21,1249.0,518.21,1249.0
942,Jihlava - Erbenova 50,J,0.0,1.0,0.0,0.0,0.0,0.073,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.04,354.0,641.04,354.0
943,Jihlava - Havlíčkova 113,J,0.0,1.0,0.0,0.0,0.0,0.127,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.22,968.0,503.22,968.0
944,Jihlava - Hruškové Dvory 105,J,0.0,1.0,0.0,0.0,0.0,0.096,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.39,243.0,424.38999999999993,243.0
945,Jihlava - Hruškové Dvory 88,J,0.0,1.0,0.0,0.0,0.0,0.07200000000000001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.11,164.0,430.11000000000007,164.0
946,"Jihlava - Hruškové Dvory 91, 92",J,0.0,1.0,0.0,0.0,0.0,0.155,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.02,392.0,406.02,392.0
947,Jihlava - Humpolecká 313/5,J,0.0,0.1355,0.0,0.0,0.8645,1.5,1,1,0.0,0.0,368.0,7332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,7332.0
948,Jihlava - Chlumova 9,J,0.0,1.0,0.0,0.0,0.0,0.252,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.28,1254.0,461.28,1254.0
949,"Jihlava - Kollárova 1, 3",J,0.0,1.0,0.0,0.0,0.0,0.3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.35,1036.0,465.35,1036.0
950,"Jihlava - Kollárova 9, 11",J,0.0,1.0,0.0,0.0,0.0,0.35600000000000004,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.06,862.0,466.06000000000006,862.0
951,"Jihlava - M.Boží 17,Fritzova 32,Brtnická 3a,b, Riegrova 3-5, 6-8, Sukova 
1,3, Havlíčkova 103-105, Ma",J,0.0,1.0,0.0,0.0,0.0,1.2209999999999999,7,10,0.0,0.0,648.45,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.81,913.0,648.45,2384.0,638.6395661846495,3596.0
952,"Jihlava - Masarykovo náměsti 67, MÚ",J,0.0,1.0,0.0,0.0,0.0,0.3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.01,1697.0,551.01,1697.0
953,"Jihlava - Nad Jihlávkou 6, 10",J,0.0,1.0,0.0,0.0,0.0,0.595,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.74,1880.0,536.74,1880.0
954,Jihlava - Polenská 4382/2c,J,0.0,1.0,0.0,0.0,0.0,0.8370000000000001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.75,1760.0,818.75,1760.0
955,Jihlava - Telečská 51,J,0.0,1.0,0.0,0.0,0.0,0.17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.08,838.0,553.08,838.0
