lokalita,kraj,pod_uhli,pod_plyn,pod_bio,pod_olej,pod_ost,vykon,nad_10_czk,nad_10_gj,pod_10_czk,pod_10_gj,cptv_czk,cptv_gj,prim_rozv_czk,prim_rozv_gj,cvs_czk,cvs_gj,cvs_voda_czk,cvs_voda_gj,blok_kot_czk,blok_kot_gj,sek_rozv_czk,sek_rozv_gj,dps_czk,dps_gj,dom_kot_czk,dom_kot_gj,dod_cena,dod_mnozstvi
Hartmanice,P,0.0,0.0,100.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,528.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,1900.0,0.0,0.0,528.0,9300.0,0.0,0.0,528.0,11800.0
Havířov,T,95.7,1.03,1.42,0.0,1.84,0.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.63,142000.0,0.0,0.0,625.4,285253.0,625.4,235863.0,625.4,2841.0,614.7876931994107,665957.0
Havířov DIN,T,0.0,100.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.72,1084.0,589.72,1084.0
Havlíčkův Brod - Baš(cid:417)nov 117,J,0.0,100.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.36,109.0,462.35999999999996,109.0
Havlíčkův Brod - Beckovského 1882,J,0.0,100.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,1339.0,655.0,1339.0
Havlíčkův Brod - Bělohradská 1128,J,0.0,100.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.1,1494.0,432.1,1494.0
Havlíčkův Brod - Bělohradská 3582,J,0.0,100.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.63,235.0,519.63,235.0
Havlíčkův Brod - Dolní 227,J,0.0,100.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.32,371.0,451.32,371.0
Havlíčkův Brod - Dostavba II 2366D,J,0.0,100.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.53,377.0,382.53,377.0
"Havlíčkův Brod - GZ Centrál, pav. 2836P",J,0.0,100.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.06,236.0,430.06,236.0
"Havlíčkův Brod - GZ Centrál, st. GZ 2836G",J,0.0,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.7,774.0,438.7,774.0
