obec,kraj,vykon,teplo_mnozstvi,teplo_cena,uhli,plyn,biomasa,olej,ostatni,pod_uhli,pod_plyn,pod_biomasa,pod_olej,pod_ostatni
Chříč,P,0.5660000000000001,2800.0,412.5,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Citice,K,0.0,3800.0,586.5,3768.08,31.92,0.0,0.0,0.0,0.9915999999999999,0.008400000000000001,0.0,0.0,0.0
Cizkrajov,C,0.725,8000.0,299.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cvikov,L,3.154,11500.0,570.1530434782609,0.0,11500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dačice,C,7.003,35916.0,398.67557634480454,0.0,35916.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Desná,L,11.059999999999999,29671.0,523.9949411883657,0.0,29671.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dešná čp,C,2.7,3005.0,300.0,0.0,0.0,3005.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dlouha Loučka,M,0.5670000000000001,1622.0,201.0,0.0,0.0,1622.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dlouhá Ves,P,0.34,1300.0,550.0,1300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dobrovice,S,137.21,100.0,152.0,0.0,93.0,7.0,0.0,0.0,0.0,0.93,0.07,0.0,0.0
Dobruška,H,15.0,57000.0,543.4,0.0,17100.0,39900.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0
Dobřany,P,7.25,27600.0,583.0,0.0,27600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dobřichovice,S,0.35,3300.0,667.38,0.0,3300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dobříš,S,15.241000000000001,43546.0,557.4310625545401,0.0,43546.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dobšice,B,0.17600000000000002,955.0,714.89,0.0,955.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Doksy,L,3.5,10439.0,622.7306638566912,0.0,10109.0,0.0,330.0,0.0,0.0,0.9683877766069547,0.0,0.03161222339304531,0.0
Dolní Benešov,T,0.64,1800.0,638.0,0.0,1800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dolní Beřkovice,S,0.0,2540.0,658.1920472440944,2540.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dolní Břežany,S,1.935,5159.0,452.11000000000007,0.0,5159.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dolní Cerekev,J,0.35,2210.0,436.57705882352946,0.0,2210.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dolní Dobrouč ev.č,E,0.825,1500.0,80.5,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dolní Dvůr,H,0.04,160.0,914.3799999999999,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,1.0,0.0
Dolní Kounice,B,0.754,1505.0,479.67737541528237,0.0,1505.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dolní Lutyně,T,0.228,1400.0,621.0,0.0,1400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dolní Moravice,T,0.135,700.0,385.0,0.0,700.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dolní Rožínka,J,4.342,4441.0,616.0,0.0,4441.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dolní Rychnov,K,0.0,1000.0,643.72,991.6,8.4,0.0,0.0,0.0,0.9916,0.008400000000000001,0.0,0.0,0.0
Dolní Suchá,T,1.584,12100.0,21.09,0.0,0.0,0.0,0.0,12100.0,0.0,0.0,0.0,0.0,1.0
Dolní Žandov,K,0.769,3088.0,552.2182642487047,0.0,3088.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Domažlice,P,22.901,65429.0,600.9784979137692,0.0,65429.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Doubrava,T,0.3,900.0,724.9,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,1.0
Drnovice u Lysic,B,0.221,553.0,459.1617359855335,0.0,553.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Družec,S,0.174,630.0,404.38365079365076,0.0,630.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dubá,L,0.225,1350.0,618.11,0.0,1350.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dubí,U,7.368,19539.0,542.1010409949332,0.0,19539.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Duchcov,U,10.523,56930.0,437.4380670999474,0.0,56930.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dukovany,J,5776.85,47000.0,262.02127659574467,0.0,0.0,7000.0,0.0,40000.0,0.0,0.0,0.14893617021276595,0.0,0.851063829787234
Dvorce,T,3.1,8200.0,470.0487804878049,8200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dvůr Králové nad Labem,H,69.46,192235.0,516.3112146071214,170639.14,21595.86,0.0,0.0,0.0,0.8876590631258616,0.11234093687413843,0.0,0.0,0.0
Dýšina,P,0.2,584.0,888.39,0.0,584.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dětenice,H,1.16,6382.0,110.0,0.0,0.0,6382.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dětmarovice,T,1572.64,671055.0,254.59672169941362,671055.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Děčín,U,81.33500000000001,294471.0,596.807180775017,0.0,262633.04280000005,31837.9572,0.0,0.0,0.0,0.8918808398789696,0.1081191601210306,0.0,0.0
Dříteň,C,3.0,10000.0,490.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Františkovy Lázně,K,34.657,124249.0,571.7203259583579,122014.2,2234.8,0.0,0.0,0.0,0.9820135373322924,0.01798646266770759,0.0,0.0,0.0
Frenštát pod Radhoštěm,T,11.235,52000.0,611.53875,0.0,52000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Frymburk,C,2.116,26337.0,417.75316854615176,0.0,26337.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Frýdek,T,160.494,1163536.0,528.0909084549168,645750.4240000001,9739.8292,507976.95519999997,0.0,0.0,0.5549896384813191,0.008370887707814799,0.4365803509302677,0.0,0.0
Frýdlant,L,14.917,52916.0,489.53676128203193,0.0,52916.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Frýdlant nad Ostravicí,T,20.523,66822.0,636.0545628685163,38879.1,27942.9,0.0,0.0,0.0,0.5818308341564156,0.4181691658435845,0.0,0.0,0.0
Fulnek,T,2.783,10885.0,526.7232154340836,0.0,10885.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Habartov,K,0.0,50000.0,646.8,49580.0,420.0,0.0,0.0,0.0,0.9916,0.0084,0.0,0.0,0.0
Hanušovice,M,7.241999999999999,19441.0,545.2289661025668,0.0,19441.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hartmanice,P,4.38,11800.0,528.0,0.0,0.0,11800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Havlíčkův Brod,J,33.225,121055.0,443.91294717277276,0.0,120530.0,0.0,525.0,0.0,0.0,0.9956631283300978,0.0,0.00433687166990211,0.0
Havířov,T,0.779,665957.0,614.7876931994107,637320.8489999999,6859.357099999999,9456.589399999999,0.0,12253.608800000002,0.9569999999999999,0.010299999999999998,0.014199999999999999,0.0,0.018400000000000003
Havířov DIN,T,3.1,1084.0,589.72,0.0,1084.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hazlov,K,0.836,3493.0,564.180847409104,0.0,3493.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Haňovice,M,1.1,700.0,250.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hejnice,L,4.406,37794.0,490.57183679949196,0.0,37794.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Herálec,J,1.176,10000.0,55.79,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hevlín,B,0.24,1050.0,401.62,0.0,1050.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Heřmanova Huť,P,1.1280000000000001,3444.0,530.342793263647,0.0,3444.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Heřmanův Městec,E,3.093,11208.0,514.1024803711634,0.0,11208.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Heřmánkovice,H,0.46399999999999997,1500.0,165.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hlinsko,E,9.304,34959.0,520.2319050888185,0.0,1029.5,33929.5,0.0,0.0,0.0,0.029448782859921623,0.9705512171400784,0.0,0.0
Hluboká nad Vltavou,C,3.31,11500.0,705.3417391304348,0.0,11500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hlubočky,M,8.48,40775.0,396.9643122011036,0.0,40775.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hluk,Z,1.5980000000000003,4220.0,481.7203554502369,0.0,4220.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hlučín,T,17.802999999999997,82482.0,484.6509895492349,0.0,82482.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hlučín DIN,T,0.0,10982.0,693.99,0.0,10982.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hnátnice,E,0.09,360.0,402.05,0.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hodkovice nad Mohelkou,L,3.995,25592.0,406.3781900593936,0.0,25592.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hodonice,B,5.836,54387.0,190.854142350194,0.0,54387.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hodonín,B,265.498,925574.0,393.1064454922027,64138.0075,9299.736400000002,852032.0478000001,0.0,104.20830000000001,0.06929538589026918,0.010047534178790677,0.9205444921745858,0.0,0.0001125877563544352
Hodslavice,T,0.988,1386.0,362.2987012987013,0.0,1386.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Holešov,Z,32.257,96687.0,512.9435820741154,19800.0,74687.0,2200.0,0.0,0.0,0.20478451084427068,0.7724616546174771,0.022753834538252297,0.0,0.0
Holice,E,0.18,1216.0,413.0,0.0,1216.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Holoubkov čp,P,2.12,4450.0,633.3219101123595,0.0,4450.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Holýšov,P,4.833,47115.0,575.6303300435105,0.0,47115.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Horažďovice,P,18.227999999999998,36885.0,448.79680086756133,0.0,33385.0,3500.0,0.0,0.0,0.0,0.9051104785143012,0.09488952148569879,0.0,0.0
Horní Benešov,T,1.6,2700.0,363.0,270.0,2430.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0
Horní Beřkovice,U,0.198,924.0,674.85,0.0,924.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Horní Bříza,P,9.629999999999999,53320.0,437.7122674418605,0.0,53320.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Horní Cerekev,J,0.603,1721.0,541.3364148750726,0.0,1721.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Horní Město,T,0.64,2100.0,429.0,2100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Horní Planá,C,4.0,12708.0,534.9,0.0,0.0,12708.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Horní Slavkov,K,23.2,128481.0,383.27558012468774,0.0,128481.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Horní Suchá,T,5.941,14548.0,326.5215012372835,0.0,4590.0,0.0,0.0,9958.0,0.0,0.31550728622491064,0.0,0.0,0.6844927137750894
Horní Suchá DIN,T,4.62,11343.0,610.39,0.0,11343.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Horoměřice,S,0.978,4901.0,751.8192858600286,0.0,4901.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
